Date,Temperature,Rainfall,Humidity,Water_Consumption,Reservoir_Level,Groundwater_Level,Pressure,Flow_Rate,Leakage_Status,Water_Shortage_Risk
2023-01-01,29.5,211.3,68,8147,63,15.9,67.9,97.6,No,Low
2023-01-02,18.5,249.6,46,3821,76,23.7,52.1,74.9,No,Low
2023-01-03,27.1,114.0,82,4154,40,18.1,76.6,76.3,No,Low
2023-01-04,27.9,230.3,60,1756,21,19.9,52.6,40.7,Yes,Low
2023-01-05,28.5,11.2,59,2634,57,33.3,72.9,113.3,No,Medium
2023-01-06,43.3,186.9,32,8557,32,24.9,33.9,116.6,Yes,Medium
2023-01-07,24.7,127.0,59,4499,78,36.1,30.9,87.8,Yes,Low
2023-01-08,19.0,157.6,74,7387,93,13.2,50.9,113.5,No,Low
2023-01-09,27.5,77.6,87,1800,51,12.6,56.3,71.5,No,Low
2023-01-10,31.1,177.3,84,5780,74,36.7,22.8,82.2,Yes,Low
2023-01-11,32.4,98.1,53,8971,93,17.6,28.9,83.7,Yes,Low
2023-01-12,40.6,106.9,86,6910,39,27.9,31.1,56.3,Yes,Low
2023-01-13,34.1,112.5,35,5839,29,39.2,40.7,102.0,No,Medium
2023-01-14,27.6,35.0,31,2804,63,22.9,53.7,81.9,No,Low
2023-01-15,31.8,25.8,84,2709,35,16.0,52.8,119.0,No,Low
2023-01-16,27.8,73.8,35,5734,89,34.9,67.0,41.4,Yes,Low
2023-01-17,24.8,187.6,32,5960,98,29.5,21.5,89.3,Yes,Low
2023-01-18,28.2,133.6,93,4872,43,23.8,28.9,89.7,Yes,Low
2023-01-19,42.8,17.2,55,1583,92,13.2,56.5,86.2,No,Medium
2023-01-20,18.6,209.7,61,6468,79,13.5,45.2,68.5,No,Low
2023-01-21,36.5,150.4,49,5379,25,33.5,50.7,89.3,No,Medium
2023-01-22,44.9,239.3,50,7047,81,25.0,56.1,49.6,No,Medium
2023-01-23,37.3,58.9,57,2404,48,17.8,42.7,80.7,No,Low
2023-01-24,32.8,150.8,42,3873,66,31.8,42.2,41.3,Yes,Low
2023-01-25,41.5,80.9,73,3840,38,9.1,27.5,75.1,Yes,Low
2023-01-26,20.1,34.7,52,6004,43,9.2,35.2,109.3,No,Low
2023-01-27,31.3,39.9,86,2886,92,10.5,49.5,109.8,No,Low
2023-01-28,45.0,32.7,48,5092,28,10.9,22.2,67.9,Yes,Medium
